rotate,-8,y,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,-8,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,-8,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,-8,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,-8,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,-8,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,-8,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,-8,y,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,-8,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,-8,y,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,-8,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,-8,y,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,-8,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,-8,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,-8,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,-8,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,-8,y,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,-8,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,-8,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,-8,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,y,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,-8,z,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,y,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,y,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,y,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,x,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,y,i,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,i,x,i,i,i,i,i,i,i,i,i,i,i,,
rotate,-8,i,z,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,i,y,i,i,i,i,i,i,i,i,i,i,i,,
rotate,-8,i,z,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,i,y,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,i,x,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,i,y,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,i,z,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,i,y,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,i,z,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,i,y,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,i,z,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,i,y,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,i,z,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,i,x,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,i,z,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,i,x,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,i,y,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,i,x,i,i,i,i,i,i,i,i,i,i,i,,
rotate,-8,i,z,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,i,y,i,i,i,i,i,i,i,i,i,i,i,,
rotate,8,i,x,i,i,i,i,i,i,i,i,i,i,i,,
