circuit,use_case,use_case_label,trotter_steps,architecture,error_model,workspace_capacity,t_count_per_cycle,avg_bell_pairs,total_tiles,total_cycles,error_rate,min_distance
TMM,stat_qpe,Statistical QPE,40,transversal,circuit,,1,1.5399753997539976,9.539975399753997,32520,0.001,15
TMM,stat_qpe,Statistical QPE,40,t-av,atoms,,1,1.5399753997539976,9.539975399753997,32520,0.001,9
TMM,stat_qpe,Statistical QPE,40,transversal,circuit,,1,1.5399753997539976,9.539975399753997,32520,0.0001,7
TMM,stat_qpe,Statistical QPE,40,t-av,atoms,,1,1.5399753997539976,9.539975399753997,32520,0.0001,5
TMM,stat_qpe,Statistical QPE,40,transversal,circuit,,2,4.066339066339066,12.066339066339065,16280,0.001,15
TMM,stat_qpe,Statistical QPE,40,t-av,atoms,,2,4.066339066339066,12.066339066339065,16280,0.001,9
TMM,stat_qpe,Statistical QPE,40,transversal,circuit,,2,4.066339066339066,12.066339066339065,16280,0.0001,7
TMM,stat_qpe,Statistical QPE,40,t-av,atoms,,2,4.066339066339066,12.066339066339065,16280,0.0001,5
TMM,stat_qpe,Statistical QPE,40,transversal,circuit,,3,6.590405904059041,14.59040590405904,10840,0.001,15
TMM,stat_qpe,Statistical QPE,40,t-av,atoms,,3,6.590405904059041,14.59040590405904,10840,0.001,9
TMM,stat_qpe,Statistical QPE,40,transversal,circuit,,3,6.590405904059041,14.59040590405904,10840,0.0001,7
TMM,stat_qpe,Statistical QPE,40,t-av,atoms,,3,6.590405904059041,14.59040590405904,10840,0.0001,5
TMM,stat_qpe,Statistical QPE,40,transversal,circuit,,4,9.098039215686274,17.098039215686274,8160,0.001,15
TMM,stat_qpe,Statistical QPE,40,t-av,atoms,,4,9.098039215686274,17.098039215686274,8160,0.001,9
TMM,stat_qpe,Statistical QPE,40,transversal,circuit,,4,9.098039215686274,17.098039215686274,8160,0.0001,7
TMM,stat_qpe,Statistical QPE,40,t-av,atoms,,4,9.098039215686274,17.098039215686274,8160,0.0001,5
TMM,stat_qpe,Statistical QPE,40,transversal,circuit,,5,11.613496932515337,19.61349693251534,6520,0.001,15
TMM,stat_qpe,Statistical QPE,40,t-av,atoms,,5,11.613496932515337,19.61349693251534,6520,0.001,9
TMM,stat_qpe,Statistical QPE,40,transversal,circuit,,5,11.613496932515337,19.61349693251534,6520,0.0001,7
TMM,stat_qpe,Statistical QPE,40,t-av,atoms,,5,11.613496932515337,19.61349693251534,6520,0.0001,5
TMM,stat_qpe_gap,Statistical QPE gap,20,baseline,circuit,,,,32,16320,0.001,15
TMM,stat_qpe_gap,Statistical QPE gap,20,baseline,circuit,,,,32,16320,0.0001,7
TMM,stat_qpe_gap,Statistical QPE gap,20,compact,circuit,,,,15,179520,0.001,17
TMM,stat_qpe_gap,Statistical QPE gap,20,compact,circuit,,,,15,179520,0.0001,9
TMM,stat_qpe_gap,Statistical QPE gap,20,av,circuit,25,,,50,10660,0.001,15
TMM,stat_qpe_gap,Statistical QPE gap,20,av,circuit,25,,,50,10660,0.0001,7
TMM,stat_qpe_gap,Statistical QPE gap,20,av,circuit,50,,,100,4500,0.001,15
TMM,stat_qpe_gap,Statistical QPE gap,20,av,circuit,50,,,100,4500,0.0001,7
TMM,stat_qpe_gap,Statistical QPE gap,20,av,circuit,100,,,200,2100,0.001,15
TMM,stat_qpe_gap,Statistical QPE gap,20,av,circuit,100,,,200,2100,0.0001,7
TMM,stat_qpe_gap,Statistical QPE gap,20,av,circuit,200,,,400,1020,0.001,15
TMM,stat_qpe_gap,Statistical QPE gap,20,av,circuit,200,,,400,1020,0.0001,7
TMM,stat_qpe_gap,Statistical QPE gap,20,av,circuit,500,,,1000,400,0.001,15
TMM,stat_qpe_gap,Statistical QPE gap,20,av,circuit,500,,,1000,400,0.0001,7
TMM,stat_qpe_gap,Statistical QPE gap,20,av,circuit,1000,,,2000,200,0.001,15
TMM,stat_qpe_gap,Statistical QPE gap,20,av,circuit,1000,,,2000,200,0.0001,7
TMM,stat_qpe_gap,Statistical QPE gap,20,transversal,circuit,,1,1.5399753997539976,9.539975399753997,16260,0.001,15
TMM,stat_qpe_gap,Statistical QPE gap,20,t-av,atoms,,1,1.5399753997539976,9.539975399753997,16260,0.001,9
TMM,stat_qpe_gap,Statistical QPE gap,20,transversal,circuit,,1,1.5399753997539976,9.539975399753997,16260,0.0001,7
TMM,stat_qpe_gap,Statistical QPE gap,20,t-av,atoms,,1,1.5399753997539976,9.539975399753997,16260,0.0001,5
TMM,stat_qpe_gap,Statistical QPE gap,20,transversal,circuit,,2,4.066339066339066,12.066339066339065,8140,0.001,15
TMM,stat_qpe_gap,Statistical QPE gap,20,t-av,atoms,,2,4.066339066339066,12.066339066339065,8140,0.001,7
TMM,stat_qpe_gap,Statistical QPE gap,20,transversal,circuit,,2,4.066339066339066,12.066339066339065,8140,0.0001,7
TMM,stat_qpe_gap,Statistical QPE gap,20,t-av,atoms,,2,4.066339066339066,12.066339066339065,8140,0.0001,5
TMM,stat_qpe_gap,Statistical QPE gap,20,transversal,circuit,,3,6.590405904059041,14.59040590405904,5420,0.001,15
TMM,stat_qpe_gap,Statistical QPE gap,20,t-av,atoms,,3,6.590405904059041,14.59040590405904,5420,0.001,7
TMM,stat_qpe_gap,Statistical QPE gap,20,transversal,circuit,,3,6.590405904059041,14.59040590405904,5420,0.0001,7
TMM,stat_qpe_gap,Statistical QPE gap,20,t-av,atoms,,3,6.590405904059041,14.59040590405904,5420,0.0001,5
TMM,stat_qpe_gap,Statistical QPE gap,20,transversal,circuit,,4,9.098039215686274,17.098039215686274,4080,0.001,13
TMM,stat_qpe_gap,Statistical QPE gap,20,t-av,atoms,,4,9.098039215686274,17.098039215686274,4080,0.001,7
TMM,stat_qpe_gap,Statistical QPE gap,20,transversal,circuit,,4,9.098039215686274,17.098039215686274,4080,0.0001,7
TMM,stat_qpe_gap,Statistical QPE gap,20,t-av,atoms,,4,9.098039215686274,17.098039215686274,4080,0.0001,5
TMM,stat_qpe_gap,Statistical QPE gap,20,transversal,circuit,,5,11.613496932515337,19.61349693251534,3260,0.001,13
TMM,stat_qpe_gap,Statistical QPE gap,20,t-av,atoms,,5,11.613496932515337,19.61349693251534,3260,0.001,7
TMM,stat_qpe_gap,Statistical QPE gap,20,transversal,circuit,,5,11.613496932515337,19.61349693251534,3260,0.0001,7
TMM,stat_qpe_gap,Statistical QPE gap,20,t-av,atoms,,5,11.613496932515337,19.61349693251534,3260,0.0001,5
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,baseline,circuit,,,,800,805804,0.001,23
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,baseline,circuit,,,,800,805804,0.0001,11
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,compact,circuit,,,,303,8863844,0.001,23
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,compact,circuit,,,,303,8863844,0.0001,11
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,av,circuit,413,,,826,718875,0.001,23
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,av,circuit,413,,,826,718875,0.0001,11
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,av,circuit,826,,,1652,349678,0.001,23
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,av,circuit,826,,,1652,349678,0.0001,11
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,av,circuit,1239,,,2478,192259,0.001,23
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,av,circuit,1239,,,2478,192259,0.0001,11
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,av,circuit,1652,,,3304,142399,0.001,21
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,av,circuit,1652,,,3304,142399,0.0001,11
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,av,circuit,2065,,,4130,114671,0.001,21
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,av,circuit,2065,,,4130,114671,0.0001,11
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,av,circuit,2478,,,4956,91912,0.001,21
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,av,circuit,2478,,,4956,91912,0.0001,11
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,av,circuit,2891,,,5782,78739,0.001,21
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,av,circuit,2891,,,5782,78739,0.0001,11
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,av,circuit,3304,,,6608,68612,0.001,21
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,av,circuit,3304,,,6608,68612,0.0001,11
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,av,circuit,3717,,,7434,60384,0.001,21
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,av,circuit,3717,,,7434,60384,0.0001,11
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,av,circuit,4130,,,8260,54232,0.001,21
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,av,circuit,4130,,,8260,54232,0.0001,11
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,av,circuit,4543,,,9086,49145,0.001,21
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,av,circuit,4543,,,9086,49145,0.0001,11
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,av,circuit,4956,,,9912,44883,0.001,21
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,av,circuit,4956,,,9912,44883,0.0001,11
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,transversal,circuit,,1,1.608744050980076,201.60874405098008,805805,0.001,21
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,t-av,atoms,,1,1.608744050980076,201.60874405098008,805805,0.001,13
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,transversal,circuit,,1,1.608744050980076,201.60874405098008,805805,0.0001,11
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,t-av,atoms,,1,1.608744050980076,201.60874405098008,805805,0.0001,7
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,transversal,circuit,,2,4.217481627091384,204.2174816270914,402903,0.001,21
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,t-av,atoms,,2,4.217481627091384,204.2174816270914,402903,0.001,11
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,transversal,circuit,,2,4.217481627091384,204.2174816270914,402903,0.0001,9
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,t-av,atoms,,2,4.217481627091384,204.2174816270914,402903,0.0001,7
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,transversal,circuit,,3,6.826222440637077,206.82622244063708,268602,0.001,21
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,t-av,atoms,,3,6.826222440637077,206.82622244063708,268602,0.001,11
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,transversal,circuit,,3,6.826222440637077,206.82622244063708,268602,0.0001,9
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,t-av,atoms,,3,6.826222440637077,206.82622244063708,268602,0.0001,7
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,transversal,circuit,,4,9.434937354804122,209.43493735480413,201452,0.001,19
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,t-av,atoms,,4,9.434937354804122,209.43493735480413,201452,0.001,11
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,transversal,circuit,,4,9.434937354804122,209.43493735480413,201452,0.0001,9
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,t-av,atoms,,4,9.434937354804122,209.43493735480413,201452,0.0001,7
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,transversal,circuit,,5,12.043720254900379,212.0437202549004,161161,0.001,19
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,t-av,atoms,,5,12.043720254900379,212.0437202549004,161161,0.001,11
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,transversal,circuit,,5,12.043720254900379,212.0437202549004,161161,0.0001,9
Fermi-Hubbard,single_trotter_step,Single Trotter step,1,t-av,atoms,,5,12.043720254900379,212.0437202549004,161161,0.0001,7
